Id,minutes_past,radardist_km,Ref,Ref_5x5_10th,Ref_5x5_50th,Ref_5x5_90th,RefComposite,RefComposite_5x5_10th,RefComposite_5x5_50th,RefComposite_5x5_90th,RhoHV,RhoHV_5x5_10th,RhoHV_5x5_50th,RhoHV_5x5_90th,Zdr,Zdr_5x5_10th,Zdr_5x5_50th,Zdr_5x5_90th,Kdp,Kdp_5x5_10th,Kdp_5x5_50th,Kdp_5x5_90th,Expected
10,53,10,32,30,34,36.5,33,32.5,34,37.5,0.90166664,0.8383333,0.9483333,0.995,1.1875,-0.6875,0.5625,2,-3.8700104,-3.8700104,1.4099884,7.4599915,0.010000005
11,1,12,21,16.5,20,23,21,16.5,20,23,0.9816667,0.9483333,0.9816667,1.015,-0.4375,-0.4375,0.25,0.875,-1.4100037,-1.7600098,1.0599976,3.8799896,2.5400014
11,10,12,23.5,22,24.5,26.5,23.5,22,24.5,26.5,0.96166664,0.9716667,0.995,1.0016667,0.5625,-0.125,0.25,0.75,0.70999146,-2.4700012,0,2.119995,2.5400014
11,20,12,20,17,19.5,23,20,17,19.5,23,0.9916667,0.9816667,0.9916667,1.0016667,0.0625,-0.3125,0.0625,0.5625,-1.0599976,-2.1100006,-1.0599976,1.7599945,2.5400014
11,29,12,16.5,16.5,19,23,16.5,16.5,19,23,0.98833334,0.96500003,0.9816667,0.99833333,0,-0.6875,0.125,0.9375,-3.1699982,-3.1699982,0.70999146,2.4700012,2.5400014
11,39,12,20,16.5,18.5,21.5,20,16.5,18.5,21.5,0.96833336,0.96833336,0.995,1.0216666,0.6875,-0.375,0.3125,1.25,-1.3400116,-1.3600006,-0.3500061,1.7599945,2.5400014
11,49,12,19,18,19.5,22,19,18,19.5,22,0.995,0.975,0.99833333,1.0350001,1.4375,-0.625,0.1875,1.3125,-3.1699982,-3.1699982,-1.0599976,3.5099945,2.5400014
11,58,12,15,15,18.5,22.5,15,15,18.5,22.5,1.0116667,0.96833336,0.995,1.0083333,1.0625,-0.4375,0.1875,1.0625,-0.7100067,-3.1699982,-0.3500061,1.7599945,2.5400014
12,5,6,30,32,34,36,45,40,42.5,45.5,0.995,0.97833335,0.9916667,0.99833333,1.1875,1,1.125,1.6875,0.34999084,-1.4100037,-0.3500061,1.4099884,3.3020017
12,11,6,35.5,33,35.5,39,43.5,38,40,43.5,0.99833333,0.98833334,0.995,0.99833333,1,0.6875,1,1.4375,0.34999084,-1.0599976,0.34999084,1.0599976,3.3020017
12,16,6,34.5,31.5,33.5,37,39.5,37,39.5,42.5,0.985,0.9816667,0.9916667,0.99833333,1.75,0.625,1,1.625,0.70999146,-0.69999695,0,1.0599976,3.3020017
12,22,6,33,32.5,34.5,37,38.5,39,41.5,45,0.995,0.985,0.995,0.99833333,1.4375,0.9375,1.125,1.5,0.34999084,-1.3899994,0,1.0599976,3.3020017
12,28,6,34.5,34,36.5,39,42,37.5,40.5,43.5,0.995,0.97833335,0.995,0.99833333,1,0.4375,0.9375,1.3125,0,-1.0599976,0,1.7599945,3.3020017
12,33,6,31.5,29.5,32,34,39,35.5,38.5,41,0.9916667,0.9816667,0.9916667,0.99833333,1.0625,0.5625,1.0625,1.8125,1.7599945,-1.4100037,0,1.7599945,3.3020017
12,39,6,30.5,30.5,32.5,37,39.5,36,38,40,0.98833334,0.985,0.9916667,0.995,1.25,0.625,1.125,1.6875,-1.4100037,-2.0900116,-1.4100037,0.70999146,3.3020017
12,45,6,31,30.5,32.5,34,39,37,38.5,42,0.995,0.98833334,0.995,0.99833333,0.6875,0.6875,1.125,1.5,-2.8200073,-1.4100037,0,2.119995,3.3020017
12,51,6,32.5,32,34.5,37,41.5,38.5,41,43,0.985,0.985,0.995,0.99833333,1.1875,0.75,1.0625,1.4375,-0.3500061,-1.0599976,0.34999084,2.819992,3.3020017
12,56,6,35.5,34.5,36.5,39.5,40.5,39,41.5,45,0.995,0.97833335,0.995,0.99833333,1.0625,0.5625,0.875,1.3125,1.7399902,-0.7100067,0.69999695,3.8799896,3.3020017
13,0,17,,,,,,,,,,,,,,,,,,,,,0.25400013
13,4,17,,,,,,,,,,,,,,,,,,,,,0.25400013
13,8,17,,,,,,,,,,,,,,,,,,,,,0.25400013
13,12,17,,,,,,,,,,,,,,,,,,,,,0.25400013
13,16,17,,,,,,,,,,,,,,,,,,,,,0.25400013
13,20,17,,,,,,,,,,,,,,,,,,,,,0.25400013
13,26,17,,,,,,,,,,,,,,,,,,,,,0.25400013
13,30,17,,,,,,,,,,,,,,,,,,,,,0.25400013
13,34,17,,,,,,,,,,,,,,,,,,,,,0.25400013
13,38,17,,,,,,,,,,,,,,,,,,,,,0.25400013
13,42,17,,,,,,,,,,,,,,,,,,,,,0.25400013
13,46,17,,,,,,,,,,,,,,,,,,,,,0.25400013
13,50,17,,,,,,,,,,,,,,,,,,,,,0.25400013
13,54,17,,,,,,,,,,,,,,,,,,,,,0.25400013
13,58,17,,,,,,,,,,,,,,,,,,,,,0.25400013
14,5,14,16,13.5,16,21,16,13.5,16,21,0.995,0.9583333,0.99833333,1.0383334,0.0625,-1.5,0.3125,1.5,-1.0400085,-3.7600098,0.34999084,5.279999,1.2700007
14,11,14,24,17,20,24,24,17,20,24,0.995,0.9916667,0.995,1.0116667,0.875,-0.6875,0.4375,1.375,0.34999084,-3.8399963,-0.7100067,5.279999,1.2700007
14,16,14,14,,14,20,14,,14,20,0.9816667,0.98833334,0.99833333,1.0350001,1,-0.75,0.25,1.4375,0,-9.2400055,-0.7100067,3.1699982,1.2700007
14,22,14,15,12,16.5,18,15,12,16.5,18,1.0516667,0.9716667,1.0016667,1.0516667,1.3125,-1.4375,0.4375,2.375,-5.199997,-5.199997,0.69999695,4.5399933,1.2700007
14,28,14,17.5,,13,16.5,17.5,,13,16.5,0.98833334,,0.98833334,1.0516667,-0.6875,,-0.125,1.25,1.7599945,,-0.3500061,1.7599945,1.2700007
14,33,14,,,,,,,,,1.0516667,0.975,1.0083333,1.0516667,-2.0625,-3,-0.125,1.5625,0.34999084,,-0.7100067,6.769989,1.2700007
14,39,14,,,,,,,,,0.99833333,0.9816667,0.995,1.0250001,0.875,-0.625,0.375,1.25,-0.3500061,-2.1100006,0.34999084,1.4299927,1.2700007
14,45,14,,,,,,,,,,,,0.995,,,,-0.0625,,,,1.3699951,1.2700007
14,51,14,,,,,,,,,,,,,,,,,,,,,1.2700007
14,56,14,,,,,,,,,,,,,,,,,,,,,1.2700007
15,3,14,13,,17,22.5,13,16,18.5,22.5,1.0083333,0.97833335,1.0016667,1.015,0.3125,-1.25,-0.125,1.25,0,-6.8200073,-1.4100037,4.580002,2.2860012
15,8,14,18,,16.5,20,18,14.5,17,20,0.995,0.9816667,1.0016667,1.0450001,-0.1875,-1.6875,-0.125,0.8125,2.4599915,-3.5,-0.3500061,2.4599915,2.2860012
15,13,14,13.5,,14,19,18,,15.5,19,1.0250001,0.98833334,1.005,1.0516667,0.375,-0.8125,0,1.0625,1.4099884,-5.5599976,-1.4100037,4.2299957,2.2860012
15,18,14,14.5,,15.5,20.5,15.5,14.5,17,24,1.0083333,0.97833335,1.005,1.0450001,0,-1.25,0,1.9375,0.34999084,-5.230011,0.34999084,2.4599915,2.2860012
15,23,14,18.5,14,17,21,18.5,16.5,18.5,21,0.9916667,0.9116667,1.005,1.0516667,0.875,-1.8125,-0.25,1.75,-2.4400024,,-4.900009,10.830002,2.2860012
15,29,14,18.5,14,17,21.5,18.5,16,18,22.5,1.0116667,0.90500003,0.995,1.0516667,1.5625,-2.25,-0.875,1.875,7.3799896,-16.419998,0.34999084,9.37999,2.2860012
15,34,14,17,13.5,16,20,17.5,15,18,21,,,,1.0516667,,,,2.1875,,,,,2.2860012
15,39,14,15.5,13.5,17.5,21.5,17.5,15.5,18.5,22.5,,,,,,,,,,,,,2.2860012
15,44,14,17,13.5,18,22.5,21,13.5,19,23,,,,1.0516667,,,,1.4375,,,,2.1900024,2.2860012
15,49,14,14,,16.5,22,16.5,16.5,19,23,,,,1.0516667,,,,2.875,,,,,2.2860012
15,54,14,18.5,,15,19,22,16,19.5,24.5,,,,,,,,,,,,,2.2860012
15,59,14,15,,18,22.5,21.5,13.5,18,23,,,,,,,,,,,,,2.2860012
16,4,13,,,,,,,,,,,,,,,,,,,,,1308.1007
16,9,13,,,,,,,,,,,,,,,,,,,,,1308.1007
16,13,13,,,,,,,,,,,,,,,,,,,,,1308.1007
16,19,13,,,,,,,,,,,,,,,,,,,,,1308.1007
16,24,13,,,,,,,,,,,,,,,,,,,,,1308.1007
16,29,13,,,,,,,,,,,,,,,,,,,,,1308.1007
16,34,13,,,,,,,,,,,,,,,,,,,,,1308.1007
16,40,13,,,,,,,,,,,,,,,,,,,,,1308.1007
16,46,13,,,,,,,,,,,,,,,,,,,,,1308.1007
16,51,13,,,,,,,,,,,,,,,,,,,,,1308.1007
16,56,13,,,,,,,,,,,,,,,,,,,,,1308.1007
17,2,14,15,19,23,25.5,17,19,23,25.5,1.0183333,0.99833333,1.0216666,1.0516667,-1.125,-1.0625,0,0.75,1.7599945,-2.1200104,-0.3500061,5.279999,0.060000036
17,6,14,19,18,22,25,19,18,22,25,1.0116667,0.99833333,1.0116667,1.0516667,-0.0625,-0.6875,-0.1875,1.3125,-1.0599976,-4.230011,0.70999146,4.2299957,0.060000036
17,11,14,22.5,18.5,22,26.5,22.5,20.5,22,26.5,1.005,1.0016667,1.015,1.0383334,-0.6875,-0.6875,-0.0625,0.6875,3.519989,-3.880005,0.34999084,7.029999,0.060000036
17,16,14,17.5,18.5,24,26.5,20,20,24,26.5,1.005,1.0016667,1.0183333,1.0516667,-0.1875,-1.4375,0.125,1.5625,-1.4100037,-2.1200104,-1.0599976,4.619995,0.060000036
17,20,14,26,23,26,29,26,23,26,29,1.0250001,0.995,1.0083333,1.0516667,1.4375,-1.125,-0.3125,1.125,-5.6399994,-4.230011,-1.0599976,4.220001,0.060000036
17,25,14,24.5,25.5,27,30.5,24.5,25.5,27,30.5,1.0216666,0.985,1.0183333,1.0516667,0.625,-0.8125,-0.25,1.625,-1.0599976,-3.5100098,-0.69999695,3.8799896,0.060000036
17,30,14,26.5,23,24.5,27.5,26.5,23,24.5,27.5,1.0016667,1.0016667,1.0183333,1.0516667,0.8125,-1,0.1875,1.1875,-1.0599976,-3.5200043,-1.0599976,2.819992,0.060000036
17,34,14,26.5,22.5,24.5,28.5,26.5,22.5,24.5,28.5,1.0016667,0.99833333,1.0416667,1.0516667,-1.6875,-2.0625,-0.375,1.375,-0.7100067,-11.660004,-1.4000092,4.970001,0.060000036
17,39,14,23.5,20.5,24.5,28.5,23.5,20.5,24.5,28.5,1.0416667,0.99833333,1.0183333,1.0516667,-1.3125,-1.375,-0.4375,1.25,4.9299927,-1.7600098,0.34999084,3.8799896,0.060000036
17,44,14,24,20,22.5,26.5,24,20,22.5,26.5,1.0083333,1.0083333,1.0483334,1.0516667,1.5,-1.3125,0.125,1.75,-4.919998,-6.330002,-2.4600067,6.819992,0.060000036
17,48,14,16.5,16.5,21,25,16.5,16.5,21,25,1.0116667,0.99833333,1.0416667,1.0516667,-0.75,-0.6875,0,2.1875,0.70999146,-6.680008,0.70999146,5.6399994,0.060000036
17,53,14,16.5,15,18,25.5,16.5,15.5,18,25.5,1.0250001,0.9916667,1.0083333,1.0516667,-0.25,-0.875,-0.25,1.9375,-2.4700012,-2.4700012,2.8099976,7.9599915,0.060000036
18,5,13,24.5,19.5,25,28.5,24.5,19.5,25,28.5,1.005,0.945,0.99833333,1.0516667,-0.1875,-2.125,0.1875,1.1875,4.199997,-5.5700073,1.050003,5.279999,1.5240008
18,11,13,20,16,21.5,31,20,16,21.5,31,0.985,0.985,0.995,1.0083333,0,-0.5,0.4375,1,-0.3500061,-2.4700012,0,1.7599945,1.5240008
18,16,13,17,15.5,17.5,21,17,15.5,17.5,21,1.0083333,0.9916667,0.99833333,1.0083333,0.375,-0.0625,0.375,1,3.8799896,-3.1699982,-0.3500061,3.8799896,1.5240008
18,22,13,19,17.5,20.5,24.5,19,17.5,20.5,24.5,0.99833333,0.96833336,0.9916667,0.99833333,1,0.0625,0.9375,1.1875,2.819992,-1.0599976,0.34999084,2.819992,1.5240008
18,28,13,19,12.5,17.5,21,19,12.5,17.5,21,0.985,0.9583333,0.9916667,1.0116667,0.8125,-0.1875,0.8125,2.3125,-4.580002,-4.580002,1.4099884,3.519989,1.5240008
18,33,13,14,,12.5,18,14,,12.5,18,0.9916667,0.985,0.995,1.0116667,0.75,-0.25,0.3125,1.0625,1.0599976,-2.1200104,-0.3500061,2.1100006,1.5240008
18,39,13,10,,12,16,10,,12,16,0.96833336,0.96500003,0.9916667,1.015,0.375,-0.9375,-0.125,0.875,2.819992,-3.850006,0,2.819992,1.5240008
18,45,13,,,,,,,,,0.98833334,,1.0016667,1.0516667,-0.1875,,0.25,1.25,-4.1200104,,-1.4100037,4.0899963,1.5240008
18,51,13,,,,,,,,,1.0183333,0.9816667,1.0083333,1.0516667,-0.8125,-1.5,0.25,1.625,0.34999084,,0,2.769989,1.5240008
18,56,13,,,,,,,,,,,,1.0216666,,,,0.375,,,,-0.3500061,1.5240008
19,0,16,15.5,,,22.5,15.5,,15,22.5,,,,,,,,,,,,,3.810002
19,5,16,,,,24.5,16.5,,18,25,,,,,,,,,,,,,3.810002
19,9,16,23,,17.5,21.5,23,,20,23.5,,,,,,,,,,,,,3.810002
19,13,16,23,,18,23,23,16.5,19,24.5,,,,,,,,,,,,,3.810002
19,17,16,,,18.5,22,17,15,19,22,,,,,,,,,,,,,3.810002
19,21,16,18,,16.5,22.5,18,,16.5,22.5,,,,,,,,,,,,,3.810002
19,26,16,,,,23,17.5,,16,23,,,,,,,,,,,,,3.810002
19,30,16,19,,,19.5,19,,15,21.5,,,,,,,,,,,,,3.810002
19,34,16,,,,18.5,,,,20,,,,,,,,,,,,,3.810002
19,38,16,,,,15.5,,,,15.5,,,,,,,,,,,,,3.810002
19,42,16,,,,,,,,,,,,,,,,,,,,,3.810002
19,47,16,,,,,15.5,,,14.5,,,,,,,,,,,,,3.810002
19,51,16,,,,,,,,16.5,,,,,,,,,,,,,3.810002
19,55,16,,,,15,,,,17.5,,,,,,,,,,,,,3.810002
19,59,16,,,,,,,,,,,,,,,,,,,,,3.810002
20,1,15,,,,,,,,,,,,,,,,,,,,,0.25400013
20,6,15,,,,,,,,,,,,,,,,,,,,,0.25400013
20,12,15,,,,,,,,,,,,,,,,,,,,,0.25400013
20,18,15,,,,,,,,,,,,,,,,,,,,,0.25400013
20,24,15,,,,,,,,,,,,,,,,,,,,,0.25400013
20,30,15,,,,,,,,,,,,,,,,,,,,,0.25400013
20,36,15,,,,,,,,,,,,,,,,,,,,,0.25400013
20,41,15,,,,,,,,,,,,,,,,,,,,,0.25400013
20,47,15,,,,,,,,,,,,,,,,,,,,,0.25400013
20,53,15,,,,,,,,,,,,,,,,,,,,,0.25400013
20,59,15,,,,,,,,,,,,,,,,,,,,,0.25400013
21,7,7,,,,,,,,,,,,,,,,,,,,,28.000013
21,17,7,,,,,,,,,,,,,,,,,,,,,28.000013
21,26,7,,,,,,,,,,,,,,,,,,,,,28.000013
21,36,7,,,,,,,,,,,,,,,,,,,,,28.000013
21,46,7,,,,,,,,,,,,,,,,,,,,,28.000013
21,55,7,,,,,,,,,,,,,,,,,,,,,28.000013
22,6,10,,,,,,,,,,,,,,,,,,,,,166.37009
22,16,10,,,,,,,,,,,,,,,,,,,,,166.37009
22,26,10,,,,,,,,,,,,,,,,,,,,,166.37009
22,35,10,,,,,,,,,,,,,,,,,,,,,166.37009
22,45,10,,,,,,,,,,,,,,,,,,,,,166.37009
